year,sample,threshold,B_excess,M_missing,b_norm,b_se,b_ci_lo,b_ci_hi,mass_ratio_M_over_B,n_in_window
2012,full,E/F 125 (MEES),9.306255109127619,362.12465958036523,0.017090161400985297,0.15843145601611996,-0.31686041313812385,0.34289728491804067,38.91196354860202,25804
2012,full,C/D 75 (placebo),274.97891639128466,-304.18416693748327,0.2046576759502922,0.07309335249609535,0.0648278697311894,0.3427616768627627,-1.106209053877573,57548
2012,full,B/C 50 (placebo),-162.1504769973588,-35.008887296362104,-0.3318470935868067,0.20983511062466317,-0.7042860195844695,0.07525173445598758,,33618
2012,smallbiz,E/F 125 (MEES),-33.93369417797635,209.54667982000592,-0.08892786547437255,0.17266390754431532,-0.44393335847341203,0.2801968498694914,,18026
2012,smallbiz,C/D 75 (placebo),68.21609757546673,-212.86068953342908,0.08223198119794994,0.0863710794896972,-0.07676341161806467,0.24766248871753682,-3.1203879597179185,35025
2012,smallbiz,B/C 50 (placebo),-50.0827329895985,-1.5894773109315565,-0.2118410648928716,0.24203657860215178,-0.6610663656622654,0.27230861074153967,,18150
2013,full,E/F 125 (MEES),200.73809693609843,114.12478632957311,0.5442234007073753,0.16343116818270484,0.258649203825972,0.8709216305190235,0.568525795907604,18419
2013,full,C/D 75 (placebo),-71.13223797375531,83.43541177629209,-0.06395481615059825,0.0890137455327398,-0.23325592346201918,0.10926336171584083,,45251
2013,full,B/C 50 (placebo),70.59730842916053,-306.15446729479595,0.18467408448384537,0.23077999287494386,-0.2789631541704881,0.6411901554482194,-4.336630873144414,28214
2013,smallbiz,E/F 125 (MEES),126.63379710150707,47.3061944053064,0.48955120683420866,0.16318275848640232,0.1834169133629722,0.8087662763165058,0.37356689515822317,12833
2013,smallbiz,C/D 75 (placebo),-124.83995210896694,201.00567511315,-0.1791700448715995,0.09969410284886696,-0.35864335714356027,0.010781551083273161,,27241
2013,smallbiz,B/C 50 (placebo),17.43353564159719,-113.27119607749651,0.10140888671482735,0.41484726769104635,-0.6725367493979459,0.9736713908777979,-6.497316345126597,14818
2014,full,E/F 125 (MEES),214.07301281011047,190.36423535895835,0.6467747957074897,0.1532646160759004,0.3637078110511258,0.9446885691383748,0.8892491064617166,16523
2014,full,C/D 75 (placebo),77.13714938784392,28.877188804347725,0.08188895498073595,0.08869597924437707,-0.09386638250834,0.24575038970372587,0.3743616277437716,40195
2014,full,B/C 50 (placebo),66.12851819035865,-110.53358993336434,0.20323829795332377,0.2624987362221359,-0.26464330274854814,0.7311474601385524,-1.6714965488139402,24329
2014,smallbiz,E/F 125 (MEES),156.5720026104132,119.62377086143408,0.6956109274586183,0.18360512720246566,0.35560083799246806,1.0476405077487247,0.764017633210487,11297
2014,smallbiz,C/D 75 (placebo),65.36452300621977,-56.836378531958076,0.1191202759155165,0.11634051727142469,-0.10074416058577418,0.34848832223518844,-0.8695294621296296,23575
2014,smallbiz,B/C 50 (placebo),14.696802606099595,-32.475293305650666,0.09966593565610095,0.359007486387467,-0.5549970978132761,0.8623284105920034,-2.2096842541909414,12087
2015,full,E/F 125 (MEES),101.03489210571348,305.52610766021417,0.3084158863298394,0.17093193225595044,-0.0013475303188129762,0.6484867885945585,3.02396628820606,15644
2015,full,C/D 75 (placebo),192.11989119741463,56.15839742469757,0.21243364106826004,0.08391774248295247,0.047341808493563196,0.37506868029948587,0.2923091256958472,38639
2015,full,B/C 50 (placebo),124.13882587998955,-140.52419393846407,0.46603515551089914,0.23268252615794302,0.05298625342027475,0.956048230126141,-1.1319922912297797,22647
2015,smallbiz,E/F 125 (MEES),61.774241786883834,184.83252518606912,0.28806546249099513,0.19886934299578535,-0.10165528424555514,0.67744891448668,2.992064650890034,10426
2015,smallbiz,C/D 75 (placebo),127.65559224708227,-51.909799064983304,0.2641502424850846,0.12832534094784664,0.034306652576836454,0.5065346452308566,-0.4066394440794251,21490
2015,smallbiz,B/C 50 (placebo),17.565109381036834,-28.935227824107727,0.174106804542046,0.3691534533778237,-0.4750839266188723,1.0048264996681933,-1.647312703634285,10110
2016,full,E/F 125 (MEES),308.0020904794032,315.0877553234104,0.9637124324267874,0.2313394007551739,0.5207232065452769,1.4381943491116334,1.0230052491948298,15760
2016,full,C/D 75 (placebo),105.4207046898747,158.16853878817074,0.11552753154146451,0.08987087471214353,-0.0527719746564061,0.29900186114205163,1.5003555445153678,39096
2016,full,B/C 50 (placebo),174.08409319825554,-209.57789554397687,0.6800606675529843,0.32560893359626125,0.09088871665222824,1.3125692004222533,-1.2038888315045488,22414
2016,smallbiz,E/F 125 (MEES),167.11068601280775,195.93481909892319,0.7943358858707945,0.2500849253568998,0.34405908934330287,1.3222832914796427,1.1724852777153119,10387
2016,smallbiz,C/D 75 (placebo),71.2922022476738,98.18371750464792,0.12996682020975475,0.10868062309197615,-0.09599584094582311,0.3459043657420724,1.3772013545541941,23604
2016,smallbiz,B/C 50 (placebo),-12.688287337108378,13.76624801983209,-0.10650106445628246,0.36321192543108693,-0.7117655023251288,0.582975747278886,,11413
2017,full,E/F 125 (MEES),705.3341704278021,479.7460473478501,2.090912610136596,0.24203797782712275,1.6330122097599193,2.5689687695329058,0.6801684470452816,16966
2017,full,C/D 75 (placebo),333.6884646912863,78.67689979143256,0.31096839623879013,0.0684003528658931,0.1797561031514229,0.44195682524434277,0.23577950129088496,46175
2017,full,B/C 50 (placebo),-16.874537661928343,-69.3816792822131,-0.05450873843889638,0.21968783489445748,-0.43467502288089277,0.36154997565340036,,26172
2017,smallbiz,E/F 125 (MEES),409.9899169659302,331.2285851029274,1.8157052940755625,0.23933036360431134,1.3923856706761086,2.291234495627237,0.8078944661715967,11354
2017,smallbiz,C/D 75 (placebo),198.99866789541386,2.5353143034107006,0.3047451557502756,0.08190189791711212,0.15460869300388133,0.4577188220322597,0.012740358165327847,28513
2017,smallbiz,B/C 50 (placebo),-98.7537393896308,7.254317290143376,-0.6150936118012832,0.28101362411583314,-1.1488979857889088,-0.09064879534843631,,14045
2018,full,E/F 125 (MEES),1308.474843376698,1016.6428168258506,3.043636961737602,0.44066082066597556,2.2873722036046717,3.986153293083563,0.7769677972579626,19753
2018,full,C/D 75 (placebo),131.65597180992927,132.08006043679757,0.09919314855489476,0.07421397875544024,-0.0475306090741682,0.22959875255911139,1.003221187926671,57618
2018,full,B/C 50 (placebo),-168.287930973451,-37.20950587346408,-0.2949017677932639,0.15731420513456454,-0.5911585746343153,0.006559280486720405,,36488
2018,smallbiz,E/F 125 (MEES),864.6994377384342,678.7668618123605,3.003887653527128,0.4503696454070982,2.216358477113075,3.9561029076372085,0.7849743300257389,13301
2018,smallbiz,C/D 75 (placebo),6.929129759127022,95.80185277360727,0.008038301419785912,0.08958560315717354,-0.15928944217680197,0.18347314358714867,13.825957386267365,37245
2018,smallbiz,B/C 50 (placebo),-120.64130940568356,-46.958461085864485,-0.35700272221717305,0.17567697664175072,-0.6578112135498456,-0.0009952742772422437,,21659
2019,full,E/F 125 (MEES),1209.6303003543326,940.0001050258277,3.156046300925105,0.5007437854110887,2.333654097350143,4.343165149301898,0.7770970227436241,17358
2019,full,C/D 75 (placebo),-73.25897295744153,146.13080939252245,-0.05319986745972347,0.07570858918469851,-0.20633342823448228,0.10307198746319259,,60421
