year,escape_rate,n_pairs
2012,0.5604395604395604,637
2013,0.6533592989289192,1027
2014,0.6676954732510288,972
2015,0.7359154929577465,1136
2016,0.8091503267973856,1530
2017,0.8788710309682477,2551
2018,0.9635715699861414,5051
2019,0.9697233718144195,4591
2020,0.9756332157742866,3119
2021,0.9724852071005917,3380
2022,0.9823596792668957,4365
2023,0.9915050784856879,5415
2024,0.9822503961965134,3155
2025,0.9799231097821444,2341
2026,0.978161965423112,1099
