property_type_group,high_risk_score
Restaurant/Cafe,0.11101903559737573
Retail/Financial/Professional,0.3718090951328385
Restaurant/Cafe,0.15047228899690857
Office/Workshop,0.1760838975162226
Retail/Financial/Professional,0.13499580452882776
Retail/Financial/Professional,0.13095705675399638
Office/Workshop,0.785465288315702
Office/Workshop,0.3582564060155123
Retail/Financial/Professional,0.0315880646163889
Retail/Financial/Professional,0.40318850146767055
Retail/Financial/Professional,0.13200787856526705
Office/Workshop,0.363400636370961
Office/Workshop,0.5649931748688021
Retail/Financial/Professional,0.034966159870758545
Retail/Financial/Professional,0.18169321832915533
Office/Workshop,0.5628039643827993
Retail/Financial/Professional,0.13400884216516437
Retail/Financial/Professional,0.045282871681257636
Retail/Financial/Professional,0.15825232438801062
Restaurant/Cafe,0.12774236194118652
Office/Workshop,0.032193986616850745
Restaurant/Cafe,0.05696848804460531
Restaurant/Cafe,0.10682146168444075
Office/Workshop,0.3419850681449595
Retail/Financial/Professional,0.036795314154040956
Office/Workshop,0.29742531245443166
Retail/Financial/Professional,0.036795314154040956
Restaurant/Cafe,0.030144091171085973
Retail/Financial/Professional,0.15279725947582437
Retail/Financial/Professional,0.254426951017002
Retail/Financial/Professional,0.2672288501746577
Restaurant/Cafe,0.025807402598806362
Office/Workshop,0.5472772906476037
Restaurant/Cafe,0.09026446242198866
Office/Workshop,0.5349873213313499
Restaurant/Cafe,0.1269672087918583
Retail/Financial/Professional,0.18683560374528188
Retail/Financial/Professional,0.033371468298584034
Office/Workshop,0.04684270539655103
Retail/Financial/Professional,0.18194736061116498
Retail/Financial/Professional,0.1332698025632253
Retail/Financial/Professional,0.17564051374472253
Restaurant/Cafe,0.12288577007256433
Retail/Financial/Professional,0.03964299740533653
Office/Workshop,0.3421762891460612
Office/Workshop,0.5343796610818805
Retail/Financial/Professional,0.19991687862846014
Retail/Financial/Professional,0.17525264804841048
Office/Workshop,0.04527317166993769
Retail/Financial/Professional,0.03064710342083932
Retail/Financial/Professional,0.034966159870758545
Office/Workshop,0.5351763965527786
Retail/Financial/Professional,0.17772397407732232
Retail/Financial/Professional,0.19787624816972044
Retail/Financial/Professional,0.1846729701333185
Office/Workshop,0.06397164490719372
Retail/Financial/Professional,0.04124796083250121
Office/Workshop,0.033859967962092334
Office/Workshop,0.05740990873744454
Office/Workshop,0.3551860348077861
Retail/Financial/Professional,0.12158421653846631
Retail/Financial/Professional,0.1763261822351497
Office/Workshop,0.0625337021871882
Restaurant/Cafe,0.029357837039972415
Restaurant/Cafe,0.12772132159923885
Retail/Financial/Professional,0.03138562189422896
Retail/Financial/Professional,0.03241451389281968
Retail/Financial/Professional,0.17482731619343134
Retail/Financial/Professional,0.17863075447158713
Restaurant/Cafe,0.11647724207575613
Restaurant/Cafe,0.12973359020940112
Retail/Financial/Professional,0.484221436036106
Office/Workshop,0.3969996181871733
Restaurant/Cafe,0.14296203384860473
Retail/Financial/Professional,0.18383186671808996
Office/Workshop,0.566158669957214
Retail/Financial/Professional,0.41291434152395373
Office/Workshop,0.051109847707604565
Retail/Financial/Professional,0.17772397407732232
Office/Workshop,0.48491115647205796
Restaurant/Cafe,0.03936026662721287
Office/Workshop,0.03578368087193661
Retail/Financial/Professional,0.1519083075850413
Retail/Financial/Professional,0.036440980114830816
Office/Workshop,0.5550445291627368
Restaurant/Cafe,0.12777596359639562
Office/Workshop,0.36285138856152005
Restaurant/Cafe,0.08924909852841977
Retail/Financial/Professional,0.1595007310109085
Retail/Financial/Professional,0.029948843308662657
Retail/Financial/Professional,0.04457000113819367
Office/Workshop,0.3720489099382609
Office/Workshop,0.3467795509924845
Retail/Financial/Professional,0.17629801710690682
Retail/Financial/Professional,0.14777809556797766
Office/Workshop,0.5469204448142873
Restaurant/Cafe,0.1064583322335658
Retail/Financial/Professional,0.027684776286884927
Restaurant/Cafe,0.11655634796189532
Retail/Financial/Professional,0.23173516931226698
Restaurant/Cafe,0.1399972462780813
Retail/Financial/Professional,0.3960373013861366
Retail/Financial/Professional,0.17017998122047864
Office/Workshop,0.015957927137852698
Office/Workshop,0.06953627983213401
Retail/Financial/Professional,0.043405219923759925
Office/Workshop,0.34308373756853955
Restaurant/Cafe,0.12369528107062852
Restaurant/Cafe,0.10700549634721099
Retail/Financial/Professional,0.031841634395593565
Retail/Financial/Professional,0.1810674889472245
Office/Workshop,0.3583044963942392
Retail/Financial/Professional,0.16648765277851083
Office/Workshop,0.3571104667911368
Office/Workshop,0.54828479368504
Office/Workshop,0.3709091314742352
Retail/Financial/Professional,0.34653800178189287
Retail/Financial/Professional,0.4031288604293436
Restaurant/Cafe,0.09557674859198594
Office/Workshop,0.1414422552128701
Retail/Financial/Professional,0.23722938082207937
Office/Workshop,0.3318324875694302
Retail/Financial/Professional,0.19628009455879436
Restaurant/Cafe,0.02536966918780202
Retail/Financial/Professional,0.17439361703228282
Office/Workshop,0.06429008509923233
Retail/Financial/Professional,0.40452172238344647
Office/Workshop,0.3433369744955042
Retail/Financial/Professional,0.1786118413417515
Retail/Financial/Professional,0.024907209853242553
Retail/Financial/Professional,0.19793718228604168
Restaurant/Cafe,0.1222618168732054
Restaurant/Cafe,0.028929327998877454
Office/Workshop,0.35376866509241933
Office/Workshop,0.5660444769370003
Retail/Financial/Professional,0.1553425672674772
Retail/Financial/Professional,0.03290050206475648
Office/Workshop,0.357134885132023
Office/Workshop,0.421375013352997
Retail/Financial/Professional,0.1458832959109749
Retail/Financial/Professional,0.21431231505749643
Office/Workshop,0.03632244878700487
Office/Workshop,0.34382241492501736
Restaurant/Cafe,0.12292275005872827
Retail/Financial/Professional,0.23007286181240605
Retail/Financial/Professional,0.026656231120594263
Retail/Financial/Professional,0.13250337389108258
Retail/Financial/Professional,0.14981329702636823
Office/Workshop,0.3531914920566765
Restaurant/Cafe,0.13346134444758406
Office/Workshop,0.29630302427555644
Retail/Financial/Professional,0.17235586605720324
Retail/Financial/Professional,0.030838484442054087
Restaurant/Cafe,0.10769536663883293
Retail/Financial/Professional,0.03409773409020909
Retail/Financial/Professional,0.1856436777977893
Office/Workshop,0.3571104667911368
Retail/Financial/Professional,0.17479419117766054
Retail/Financial/Professional,0.21498705338828303
Office/Workshop,0.3395067018313787
Restaurant/Cafe,0.01874298260798509
Office/Workshop,0.5284955619042022
Retail/Financial/Professional,0.17565652250256836
Retail/Financial/Professional,0.4376186302041004
Retail/Financial/Professional,0.40487275977706944
Retail/Financial/Professional,0.22954316749691517
Office/Workshop,0.24557361596486935
Retail/Financial/Professional,0.16437368851764023
Office/Workshop,0.5606641412641116
Retail/Financial/Professional,0.4746831302918729
Retail/Financial/Professional,0.1457400470830429
Retail/Financial/Professional,0.14647501256471698
Retail/Financial/Professional,0.16252715193067907
Retail/Financial/Professional,0.18210642367506835
Retail/Financial/Professional,0.18043892344175386
Restaurant/Cafe,0.10840153134747453
Office/Workshop,0.055893137097835686
Retail/Financial/Professional,0.4276902422993381
Restaurant/Cafe,0.036445070904050615
Restaurant/Cafe,0.01700450492374931
Retail/Financial/Professional,0.03164005798850611
Retail/Financial/Professional,0.13250337389108258
Office/Workshop,0.07526582383094686
Restaurant/Cafe,0.07071037412923266
Retail/Financial/Professional,0.18603968402551924
Retail/Financial/Professional,0.23077715644823316
Restaurant/Cafe,0.06719628848261765
Retail/Financial/Professional,0.20989869405188102
Retail/Financial/Professional,0.17666855413422236
Office/Workshop,0.5322789848987074
Restaurant/Cafe,0.08901029728594326
Retail/Financial/Professional,0.17978799608285229
Retail/Financial/Professional,0.03694233915600384
Retail/Financial/Professional,0.1906249896426201
Office/Workshop,0.043060035571873545
Retail/Financial/Professional,0.024128010589736813
Restaurant/Cafe,0.04899009267767684
Retail/Financial/Professional,0.11462249335040914
Retail/Financial/Professional,0.22254118849961524
Restaurant/Cafe,0.10732852429894744
Office/Workshop,0.4550388007263589
Restaurant/Cafe,0.11945332970371543
Retail/Financial/Professional,0.48107519153179645
Retail/Financial/Professional,0.67738234061839
Office/Workshop,0.35676301772822056
Retail/Financial/Professional,0.03585719567881263
Retail/Financial/Professional,0.3959405728070846
Restaurant/Cafe,0.04116620297233049
Retail/Financial/Professional,0.1694692497053937
Office/Workshop,0.3338219898961796
Office/Workshop,0.5291347858752861
Restaurant/Cafe,0.0771760617785559
Retail/Financial/Professional,0.029459997754884445
Office/Workshop,0.3429299108179805
Retail/Financial/Professional,0.20130743043822996
Restaurant/Cafe,0.09317925414337337
Restaurant/Cafe,0.16461528292226685
Office/Workshop,0.5468362037678647
Retail/Financial/Professional,0.02929808857278131
Restaurant/Cafe,0.13217464133648016
Retail/Financial/Professional,0.02982704388120516
Retail/Financial/Professional,0.14357089340517493
Retail/Financial/Professional,0.13439364688639546
Retail/Financial/Professional,0.17978799608285229
Retail/Financial/Professional,0.04276299585594272
Retail/Financial/Professional,0.14631435326370495
Retail/Financial/Professional,0.17772397407732232
Retail/Financial/Professional,0.47234247800141604
Office/Workshop,0.32280929943687525
Office/Workshop,0.28516459253349846
Restaurant/Cafe,0.11587253838882619
Restaurant/Cafe,0.09027564872638093
Restaurant/Cafe,0.12168039208210786
Office/Workshop,0.35895293534566675
Retail/Financial/Professional,0.14412879629448874
Retail/Financial/Professional,0.02717927132616017
Retail/Financial/Professional,0.03230901688484672
Retail/Financial/Professional,0.0315880646163889
Retail/Financial/Professional,0.19577040493725423
Retail/Financial/Professional,0.1473629734575319
Retail/Financial/Professional,0.15918461405202086
Retail/Financial/Professional,0.13183924942316233
Retail/Financial/Professional,0.48399555762099344
Retail/Financial/Professional,0.1493628488112927
Retail/Financial/Professional,0.032213021738213034
Office/Workshop,0.5604054765897368
Office/Workshop,0.20078576787494926
Restaurant/Cafe,0.10732852429894744
Retail/Financial/Professional,0.03354185743336807
Retail/Financial/Professional,0.17031926743624354
Office/Workshop,0.3550068783261971
Office/Workshop,0.1433210929221272
Office/Workshop,0.35522531398053453
Retail/Financial/Professional,0.2664440032839689
Restaurant/Cafe,0.09300172397859675
Office/Workshop,0.40460866139693885
Restaurant/Cafe,0.022350247048125875
Retail/Financial/Professional,0.031966692530943364
Restaurant/Cafe,0.11692906887554827
Restaurant/Cafe,0.0870626069316968
Restaurant/Cafe,0.1269672087918583
Restaurant/Cafe,0.0899403036815274
Office/Workshop,0.5591952772401589
Office/Workshop,0.26914447160957033
Retail/Financial/Professional,0.13333188333383625
Restaurant/Cafe,0.025009440538528008
Retail/Financial/Professional,0.223431633501247
Restaurant/Cafe,0.032220047338262635
Office/Workshop,0.34642784833537094
Office/Workshop,0.06863939969582938
Retail/Financial/Professional,0.11593983304862837
Retail/Financial/Professional,0.1732546186041424
Retail/Financial/Professional,0.034412866674280534
Retail/Financial/Professional,0.44733429997773233
Restaurant/Cafe,0.05855738019562574
Retail/Financial/Professional,0.04323376039868103
Retail/Financial/Professional,0.15564802881131648
Retail/Financial/Professional,0.42703927968597305
Office/Workshop,0.3826429012873135
Retail/Financial/Professional,0.1661467143105151
Office/Workshop,0.34277644998548795
Office/Workshop,0.35939840114153543
Office/Workshop,0.24798431953751685
Office/Workshop,0.1199223018770016
Retail/Financial/Professional,0.03349157504628278
Retail/Financial/Professional,0.16550183546594027
Office/Workshop,0.7674094847928356
Retail/Financial/Professional,0.13502596935974887
Retail/Financial/Professional,0.13199433928619797
Retail/Financial/Professional,0.09717621748171158
Office/Workshop,0.3423031413340433
Retail/Financial/Professional,0.04425942948533094
Office/Workshop,0.7535291496898425
Retail/Financial/Professional,0.39476094556248426
Retail/Financial/Professional,0.4437916134627021
Office/Workshop,0.07117505669108226
Retail/Financial/Professional,0.037748412692581036
Restaurant/Cafe,0.1269672087918583
Restaurant/Cafe,0.10754051613797964
Retail/Financial/Professional,0.03415875881155037
Office/Workshop,0.5270770440441993
Restaurant/Cafe,0.07477378105344525
Retail/Financial/Professional,0.03807535496685338
Restaurant/Cafe,0.11268207991442747
Retail/Financial/Professional,0.1473629734575319
Retail/Financial/Professional,0.45557497537347963
Office/Workshop,0.5554803707402222
Restaurant/Cafe,0.11435869749792175
Office/Workshop,0.3594794671085845
Retail/Financial/Professional,0.024765896400971397
Restaurant/Cafe,0.07844122569584495
Retail/Financial/Professional,0.034936273697019536
Restaurant/Cafe,0.025910082387173038
Retail/Financial/Professional,0.14718621642658217
Retail/Financial/Professional,0.25246911012329687
Office/Workshop,0.3578881071548174
Office/Workshop,0.3564010043983333
Retail/Financial/Professional,0.037063684439186874
Retail/Financial/Professional,0.034500675489154115
Retail/Financial/Professional,0.03354185743336807
Retail/Financial/Professional,0.2046650115232313
Retail/Financial/Professional,0.030966790431415373
Retail/Financial/Professional,0.36400872978114956
Office/Workshop,0.3526200694257568
Retail/Financial/Professional,0.03412691992738774
Restaurant/Cafe,0.13070236884579484
Retail/Financial/Professional,0.17087914360795545
Office/Workshop,0.5438329780697225
Office/Workshop,0.5576214495467906
Office/Workshop,0.7646651517463487
Restaurant/Cafe,0.08962535249594643
Retail/Financial/Professional,0.2629818923668103
Office/Workshop,0.7808798710264502
Retail/Financial/Professional,0.133574749623202
Office/Workshop,0.5344843018216953
Retail/Financial/Professional,0.034539328177214404
Retail/Financial/Professional,0.02989775666885842
Office/Workshop,0.5309377183012848
Restaurant/Cafe,0.029289827108180594
Retail/Financial/Professional,0.028988418000862604
Retail/Financial/Professional,0.13536936093385696
Office/Workshop,0.04656051655623763
Retail/Financial/Professional,0.03011642698839166
Retail/Financial/Professional,0.176850430750509
Retail/Financial/Professional,0.1431744891843402
Office/Workshop,0.4572060781489819
Office/Workshop,0.3435126272202472
Office/Workshop,0.3405825376988327
Office/Workshop,0.38313016326692323
Restaurant/Cafe,0.1222628373893885
Retail/Financial/Professional,0.13095705675399638
Office/Workshop,0.04733139254844998
Retail/Financial/Professional,0.1967954902240895
Retail/Financial/Professional,0.047485613177181245
Retail/Financial/Professional,0.08050060506081932
Retail/Financial/Professional,0.1437735208849003
Retail/Financial/Professional,0.1806347705358442
Restaurant/Cafe,0.037238039420100046
Retail/Financial/Professional,0.165366282343077
Office/Workshop,0.4251888584806282
Restaurant/Cafe,0.09002543743396636
Office/Workshop,0.5475718682104186
Retail/Financial/Professional,0.2213180620030785
Restaurant/Cafe,0.0327182583386052
Office/Workshop,0.35776310042247267
Restaurant/Cafe,0.12288577007256433
Retail/Financial/Professional,0.03142151155186662
Retail/Financial/Professional,0.16552159090205254
Office/Workshop,0.35720927365723776
Retail/Financial/Professional,0.2363022698019778
Restaurant/Cafe,0.12795719282978152
Office/Workshop,0.06649813460949193
Retail/Financial/Professional,0.15824461129452566
Office/Workshop,0.06863939969582938
Retail/Financial/Professional,0.148316114472627
Office/Workshop,0.3678586243899124
Retail/Financial/Professional,0.21431231505749643
Office/Workshop,0.2169213849175125
Restaurant/Cafe,0.1341505436272691
Retail/Financial/Professional,0.03021172574056076
Office/Workshop,0.36065119673347823
Office/Workshop,0.12526736954552295
Office/Workshop,0.02775732205121816
Office/Workshop,0.321648347987543
Restaurant/Cafe,0.018740222464404866
Retail/Financial/Professional,0.04344786932559952
Office/Workshop,0.24211987647573902
Retail/Financial/Professional,0.03267824421228924
Restaurant/Cafe,0.0252992248441154
Retail/Financial/Professional,0.4835903066100067
Retail/Financial/Professional,0.3361012152913049
Retail/Financial/Professional,0.12677081449617528
Retail/Financial/Professional,0.17804416455820113
Office/Workshop,0.28171990821259274
Retail/Financial/Professional,0.031841634395593565
Retail/Financial/Professional,0.13250337389108258
Office/Workshop,0.34711831225908923
Retail/Financial/Professional,0.15279725947582437
Office/Workshop,0.04304172423194103
Restaurant/Cafe,0.057521655890702635
Office/Workshop,0.31816699276772875
Retail/Financial/Professional,0.1473629734575319
Office/Workshop,0.3405716515591803
Retail/Financial/Professional,0.02744470885795774
Restaurant/Cafe,0.020971672252638046
Office/Workshop,0.36003252131484637
Office/Workshop,0.06615309195126695
Office/Workshop,0.23253772634404693
Office/Workshop,0.3437633543193817
Office/Workshop,0.34770252630115306
Office/Workshop,0.34770252630115306
Retail/Financial/Professional,0.16437368851764023
Office/Workshop,0.36065119673347823
Office/Workshop,0.34650785459414896
Office/Workshop,0.5761532858561302
Office/Workshop,0.5598865857057546
Office/Workshop,0.5799437336462518
Retail/Financial/Professional,0.032044396667169066
Retail/Financial/Professional,0.23126569613200204
Office/Workshop,0.35371409196314263
Retail/Financial/Professional,0.030181607996253884
Restaurant/Cafe,0.13720632884881506
Office/Workshop,0.3484367216289004
Office/Workshop,0.4557609007235202
Retail/Financial/Professional,0.031863612284088606
Office/Workshop,0.5531573847862016
Restaurant/Cafe,0.09824689737233411
Office/Workshop,0.545132684795564
Office/Workshop,0.3711118855679068
Office/Workshop,0.5258113079755401
Office/Workshop,0.07901833050689432
Restaurant/Cafe,0.13200738659388642
Retail/Financial/Professional,0.17793756035971453
Office/Workshop,0.35142384829277856
Restaurant/Cafe,0.07342977620762144
Restaurant/Cafe,0.021767094247910304
Office/Workshop,0.5796143250142753
Retail/Financial/Professional,0.015090673776031311
Retail/Financial/Professional,0.17666855413422236
Retail/Financial/Professional,0.13635829235543503
Retail/Financial/Professional,0.13531301446635335
Retail/Financial/Professional,0.23108386623950294
Retail/Financial/Professional,0.16891945309424983
Retail/Financial/Professional,0.20130743043822996
Retail/Financial/Professional,0.17593121454722652
Retail/Financial/Professional,0.19589522489089364
Retail/Financial/Professional,0.4664956225900456
Office/Workshop,0.4629072632704967
Retail/Financial/Professional,0.17730806177772718
Office/Workshop,0.42941928271266305
Retail/Financial/Professional,0.13250337389108258
Office/Workshop,0.26179121626979973
Office/Workshop,0.5571753723215632
Restaurant/Cafe,0.11189771475754581
Office/Workshop,0.5554803707402222
Retail/Financial/Professional,0.03260249263978064
Retail/Financial/Professional,0.047277721926030365
Retail/Financial/Professional,0.03939854225296213
Office/Workshop,0.5618305397184588
Retail/Financial/Professional,0.14176808309041772
Office/Workshop,0.299603711567787
Office/Workshop,0.5658474459053786
Retail/Financial/Professional,0.18043892344175386
Office/Workshop,0.35471660368361235
Retail/Financial/Professional,0.042514130405824656
Restaurant/Cafe,0.12744421963315036
Office/Workshop,0.44962943417434276
Retail/Financial/Professional,0.1799562851269768
Office/Workshop,0.34682201775637617
Retail/Financial/Professional,0.4176667720402987
Restaurant/Cafe,0.020901717354469752
Retail/Financial/Professional,0.04471351592156658
Retail/Financial/Professional,0.16476260501629672
Office/Workshop,0.5405022132737279
Office/Workshop,0.04488791330147343
Retail/Financial/Professional,0.389653180149141
Office/Workshop,0.5784716647000999
Restaurant/Cafe,0.08764533129484925
Retail/Financial/Professional,0.1493628488112927
Restaurant/Cafe,0.09556330145403959
Retail/Financial/Professional,0.28113845593499964
Office/Workshop,0.3535998985367342
Restaurant/Cafe,0.13597658574965124
Office/Workshop,0.3562686325329106
Retail/Financial/Professional,0.13278823655627348
