year,threshold,b_norm,b_ci_lo,b_ci_hi
2012,E/F 125 (MEES),0.0170901614009852,-0.3168604131381238,0.3428972849180406
2012,C/D 75 (placebo),0.2046576759502922,0.0648278697311894,0.3427616768627627
2012,B/C 50 (placebo),-0.3318470935868067,-0.7042860195844695,0.0752517344559875
2013,E/F 125 (MEES),0.5442234007073753,0.258649203825972,0.8709216305190235
2013,C/D 75 (placebo),-0.0639548161505982,-0.2332559234620191,0.1092633617158408
2013,B/C 50 (placebo),0.1846740844838453,-0.2789631541704881,0.6411901554482194
2014,E/F 125 (MEES),0.6467747957074897,0.3637078110511258,0.9446885691383748
2014,C/D 75 (placebo),0.0818889549807359,-0.09386638250834,0.2457503897037258
2014,B/C 50 (placebo),0.2032382979533237,-0.2646433027485481,0.7311474601385524
2015,E/F 125 (MEES),0.3084158863298394,-0.0013475303188129,0.6484867885945585
2015,C/D 75 (placebo),0.21243364106826,0.0473418084935631,0.3750686802994858
2015,B/C 50 (placebo),0.4660351555108991,0.0529862534202747,0.956048230126141
2016,E/F 125 (MEES),0.9637124324267874,0.5207232065452769,1.4381943491116334
2016,C/D 75 (placebo),0.1155275315414645,-0.0527719746564061,0.2990018611420516
2016,B/C 50 (placebo),0.6800606675529843,0.0908887166522282,1.3125692004222531
2017,E/F 125 (MEES),2.090912610136596,1.6330122097599191,2.5689687695329058
2017,C/D 75 (placebo),0.3109683962387901,0.1797561031514229,0.4419568252443427
2017,B/C 50 (placebo),-0.0545087384388963,-0.4346750228808927,0.3615499756534003
2018,E/F 125 (MEES),3.043636961737602,2.287372203604672,3.986153293083563
2018,C/D 75 (placebo),0.0991931485548947,-0.0475306090741682,0.2295987525591113
2018,B/C 50 (placebo),-0.2949017677932639,-0.5911585746343153,0.0065592804867204
2019,E/F 125 (MEES),3.156046300925105,2.333654097350143,4.343165149301898
2019,C/D 75 (placebo),-0.0531998674597234,-0.2063334282344822,0.1030719874631925
2019,B/C 50 (placebo),-0.3930995911495459,-0.7087389494922689,-0.0868200428249744
2020,E/F 125 (MEES),3.57598957421236,2.6425351210548405,4.81764590269168
2020,C/D 75 (placebo),-0.2987666362648611,-0.4545731033975703,-0.1191260553664654
2020,B/C 50 (placebo),-0.1803287744155243,-0.4197903066948398,0.1149182074735706
2021,E/F 125 (MEES),2.934829214710427,2.033635210828565,4.209169742423034
2021,C/D 75 (placebo),0.1068778320154889,-0.0589388623368757,0.2632478985718904
2021,B/C 50 (placebo),-0.1284160720372341,-0.3698813242765628,0.135438902258906
2022,E/F 125 (MEES),2.8419525598470345,2.153263584582016,4.086165541627425
2022,C/D 75 (placebo),0.2959143892971708,0.1422291327490738,0.4652571274804442
2022,B/C 50 (placebo),0.364233525186566,0.1773668246013235,0.5589384631633909
2023,E/F 125 (MEES),3.108790262813371,2.197956661047892,4.390685016409283
2023,C/D 75 (placebo),0.7878090105365836,0.5833743457433088,1.0054336563229946
2023,B/C 50 (placebo),0.4368382460097076,0.2755920808755842,0.6016847766997762
2024,E/F 125 (MEES),3.0888726325617544,2.19587660922794,4.372141029075149
2024,C/D 75 (placebo),0.5124774860079007,0.2659817845106689,0.7694652607620532
2024,B/C 50 (placebo),0.8566243152303394,0.6882054820437717,1.0281500980245513
2025,E/F 125 (MEES),3.8480942462669647,3.046674038181377,4.967056265270313
2025,C/D 75 (placebo),1.1252381066744854,0.8527435534787872,1.408198452060186
2025,B/C 50 (placebo),0.8966449610510445,0.722632364396358,1.076880182934071
2026,E/F 125 (MEES),2.7255128640369044,1.6546007599463934,4.191681834289763
2026,C/D 75 (placebo),0.8164958564509538,0.5013672322655001,1.179767154226739
2026,B/C 50 (placebo),1.010487079813703,0.8047553036040577,1.240320290257432
